scenario,n,method,bias,se,sd,cov,corr,nrmse,skip,used,n_seeds
Dsmall,2000,tarnet,0.041342611246057204,0.06074385290512238,0.06412607685594852,0.87,0.809328942186321,0.5883475229429003,0,200,200
Dsmall,2000,bk,0.32481146235150155,,,0.0,,,,,200
Dsmall,5000,ridge,0.036516966053905864,0.05083640553861336,0.07871365144745218,0.845,0.5912268166534843,0.784482722760051,0,200,200
Dsmall,5000,rf_tuned,0.040433941404284135,0.049563230808406813,0.05734162519169279,0.83,0.6195672501192633,0.7800308303915082,0,200,200
Dsmall,5000,tnet,0.040194401380992506,0.043756754236136564,0.0496315789987986,0.82,0.7065391397999778,0.890416011933045,0,200,200
Dsmall,5000,tarnet,0.043743057639624716,0.033928946098799095,0.034920923174106694,0.765,0.9122139088324814,0.4107150073938483,0,200,200
Dsmall,5000,bk,0.3260632624927744,,,0.0,,,,,200
Dsmall,10000,ridge,0.03412044253419466,0.03542733972598834,0.042239408046650044,0.82,0.6041198087868885,0.7733995139871007,0,200,200
Dsmall,10000,rf_tuned,0.0381819897831564,0.03275880486548385,0.03367458233278101,0.755,0.6603782224260946,0.7477452105202221,0,200,200
Dsmall,10000,tnet,0.03973422643100205,0.025143868008538378,0.026594590371061513,0.65,0.8705998814493846,0.5200992905030698,0,200,200
Dsmall,10000,tarnet,0.03993775073556566,0.023449349453124116,0.024708165869371246,0.605,0.934409145497654,0.35722124119117554,0,200,200
Dsmall,10000,bk,0.32514280884625796,,,0.0,,,,,200
Wtau,500,ridge,0.07767443540706331,0.44589419892541976,0.535808976703206,0.9285714285714286,0.3271209836047446,1.2314757210101848,102,98,200
Wtau,500,rf_tuned,0.14821126652550848,0.47060310013666795,0.644300543400673,0.9328358208955224,0.2969981806797932,1.1124307116307421,66,134,200
Wtau,500,tnet,nan,nan,nan,nan,0.28482615148253626,2.0005347600939403,200,0,200
Wtau,500,tarnet,nan,nan,nan,nan,0.32061022203116357,1.76076604633746,200,0,200
Wtau,500,bk,0.3289047342453981,,,0.0,,,,,200
Wtau,1000,ridge,-0.016929257323095886,0.3084699327230003,0.4946203533159288,0.9540229885057471,0.4133736058602597,1.0315325412145566,26,174,200
Wtau,1000,rf_tuned,0.03938608230417501,0.31384207930524777,0.4468916870363795,0.9629629629629629,0.36989233260540816,1.0327134501723902,38,162,200
Wtau,1000,tnet,nan,nan,nan,nan,0.29819757770348854,2.307308268603725,200,0,200
Wtau,1000,tarnet,-0.05454726648562458,0.22194580248031237,0.24990912940757398,0.9795918367346939,0.6135650106739017,0.8555382312974146,4,196,200
Wtau,1000,bk,0.3327288319952222,,,0.0,,,,,200
Wtau,2000,ridge,0.008802884090086838,0.17572109596478455,0.24251703922828147,0.973404255319149,0.4881863979998301,0.910822382702189,12,188,200
Wtau,2000,rf_tuned,0.016003079140673615,0.20235121798531935,0.24052995982434516,0.9578947368421052,0.43186847301861264,0.9691910441309863,10,190,200
Wtau,2000,tnet,nan,nan,nan,nan,0.41000648804225986,1.7751195865267873,200,0,200
Wtau,2000,tarnet,0.004005052926940533,0.125711218054729,0.14481908330601662,0.9545454545454546,0.6761068281225202,0.7414033394075044,2,198,200
Wtau,2000,bk,0.33007872836062,,,0.0,,,,,200
Wtau,5000,ridge,-0.014641711502515975,0.09333139816313873,0.14078674253035556,0.9441624365482234,0.5499813514378493,0.8270526845542898,3,197,200
Wtau,5000,rf_tuned,-0.004708212044034821,0.10888919656699551,0.12541210656198112,0.94,0.4987355476270174,0.9037447834219848,0,200,200
Wtau,5000,tnet,0.12296366645902335,0.11166247830354864,0.0,1.0,0.5027324603514235,1.4559759366254406,199,1,200
Wtau,5000,tarnet,0.0072724874308292,0.06522797617592481,0.06842840501559097,0.945,0.8308099795487237,0.5602312818440663,0,200,200
Wtau,5000,bk,0.33312675969911437,,,0.0,,,,,200
Wtau,10000,ridge,-0.00834458335616478,0.0654350120948736,0.1002035535918834,0.9849246231155779,0.5801595978467007,0.7954267232172072,1,199,200
Wtau,10000,rf_tuned,-0.0030829856557604562,0.0707370588787221,0.07062046430778378,0.965,0.5442363694967898,0.8581845473644825,0,200,200
Wtau,10000,tnet,-0.0074202390924003325,0.05331888193101378,0.05449088556447122,0.945,0.7175787130599934,0.8460651842426787,0,200,200
Wtau,10000,tarnet,-0.0011160979346818423,0.04481791997005848,0.04486467076018225,0.95,0.8569720730112994,0.5175524421649444,0,200,200
Wtau,10000,bk,0.33173131070556694,,,0.0,,,,,200
